Ventilador De Mesa Arno Vf Preto E Pás De Cor Prata, 50cm De Diâmetro 127v
Question,Answer
Sobre a economia dele,"Bom dia, Potência (W) 126 W Consumo de Energia: 10,1 kW/h/mês Classificação de consumo: Selo A Att, Equipe."
Tudo bem,"Aguardamos seu pedido."
Eu te perguntei se o ventilador é Arno profissional,"Ventilador de "canto" ? Ventilador "profissional"? Sabemos que tem de parede, de mesa, de teto e de coluna. Essa modalidade que você apresentou é novidade."
Como vc não atende,"Ventilador de "canto" ? Ventilador "profissional"? Sabemos que tem de parede, de mesa, de teto e de coluna. Essa modalidade que você apresentou é novidade."
Ele é profissional   eu quero um de canto profissional mas tem q ser Arno,"Não entendemos a sua pergunta."
se n chegar vcs devolvem o dinheiro?,"Basta ler os termos e condições do Mercado Livre que vai entender todo o funcionamento do site. Aguardamos seu pedido."
----
Máquina De Costura Lenoxx Multi Points Psm101 Branca 110v/220v
Question,Answer

----
Piscina Estrutural Botafogo Pis0628 Retangular 1.89m De Comprimento X 1.26m De Largura
Question,Answer
Para ter resposta,"Bom dia, Dúvidas e demais informações referentes a pedidos de compra realizados devem ser feitos exclusivamente pelo chat, dentro do próprio pedido. Fazemos o possível para responder com prontidão. Att, Equipe."
Infelizmente tem que ir até outros meios de redes sociais,"Bom dia, Dúvidas e demais informações referentes a pedidos de compra realizados devem ser feitos exclusivamente pelo chat, dentro do próprio pedido. Fazemos o possível para responder com prontidão. Att, Equipe."
igual tá na foto????,"Bom dia, Nossos produtos anunciados são originais, novos e seguem com Nota Fiscal. Tudo para lhe garantir total segurança e satisfação com os mesmos. Aguardamos o seu pedido. Att, Equipe."
pode chegar antes dessa data,"Bom dia, Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Aguardamos o seu pedido. Att, Equipe."
2275307824 me ajudem com esse pedido  por favor  produto devolvido e até hoje não recebi o valor pago.,"Estaremos verificando com o mercado livre."
Mas vcs ñ responde fazem pessoas de besta,"Temos milhares de perguntas e serem respondidas e por conta da pandemia, obviamente não só a nossa mais muitas outras equipes estão reduzidas. Pedimos desculpas pela demora assim também como pedimos mais paciência principalmente quando o motivo já se sabe pelo cotidiano do país."
Tem perigo de colocar essa piscina sobre piso de concreto?,"Bom dia, É recomendável o uso de uma lona por baixo. Att, Equipe."
Tem perigo de botar a piscina no quintal que o piso é de concreto ainda?,"Bom dia, É recomendável uma lona embaixo. Att, Equipe."
tem de 3000L?,"Bom dia, Peço que verifique nossos produtos disponíveis. Att, Equipe."
Quero em 6 vês,"Bom dia, Infelizmente não temos esse produto no estoque para pronta entrega. Att, Equipe."
Quero Whatsapp da empresa,"Boa tarde, Dúvidas e demais informações referentes a pedidos de compra realizados devem ser feitos exclusivamente pelo chat, dentro do próprio pedido. Att, Equipe."
estou com problema na minha comprar ñ mim enviaram o código de rastreio o meu pedido só aparece envio pendente gostaria que alguém mim enviasse o código pois se ñ tiver um respalde vou cancelar,"Boa tarde, Dúvidas e demais informações referentes a pedidos de compra realizados devem ser feitos exclusivamente pelo chat, dentro do próprio pedido. Att, Equipe."
como saber o nome do vendedor pois fiz uma compra e estão mim fazendo de besta,"Boa tarde, Dúvidas e demais informações referentes a pedidos de compra realizados devem ser feitos exclusivamente pelo chat, dentro do próprio pedido. Att, Equipe."
Boa noite! Dá para montar na largura de 1 metro?,"É possível"
Oi eka e grande?pra adulto?,"Bom dia, A piscina é infantil. Comprimento: 1,89m Largura: 1,26 m Altura: 42 cm Att, Equipe."
Boa tarde . vem com 8  pés??????,"Bom dia, São 6 pés. Att, Equipe."
pode chegar ainda esse mês,"Bom dia, Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Aguardamos o seu pedido. Att, Equipe"
frete 19802440,"Bom dia, Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Aguardamos o seu pedido. Att, Equipe"
tEM COMO MANDAR LINK,"Boa tarde, Peço que olhe nossos produtos disponíveis. Aguardamos o seu pedido. Att, Equipe."
Serve para colocar de mini lago para patos? São só 4,"Boa tarde, Dimensões: 1000 Litros (C) 1,98 x (L) 1,26 x 0,48 (m) de altura As piscinas da Linha Standard são fortes e resistentes, possuem pés de apoio para forçar sua estrutura. Att, Equipe."
Tem pra envio imediato?,"Boa tarde, Sim, temos o produto no estoque para pronta entrega. Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio . Aguardamos o seu pedido. Att, Equipe."
quero código de rastreio,"Boa tarde, Informo que dúvidas e demais esclarecimentos referentes a pedidos de compra realizados devem ser feitos exclusivamente pelo chat, dentro do próprio pedido. Att, Equipe."
Tem a pronta entrega,"Bom dia, Sim, temos o produto no estoque para pronta entrega. Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio . Aguardamos o seu pedido. Att, Equipe."
gostaria de saber se dá pra fazer frente grátis se dê faço a compra agora mesmo.,"Bom dia, Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Aguardamos o seu pedido. Att, Equipe"
Vc tem piscina de 1 5lts ou 2ls,"Bom dia, Temos sim. Att, Equipe."
Frente?,"Bom dia, Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Aguardamos o seu pedido. Att, Equipe"
Bom dia  efetuei a compra ontem e fiz o pagamento do boleto  aguardo confirmação e envio!,"Ok."
está peso na cave adulto tambem,"Cabe adulto também. Aguardamos seu pedido."
O frete é gratis,"Att, Equipe."
Falei com vocês sobre o anuncio de um quebra cabeça porem esta pausado e não consigo efetuar a compra. o que ocorreu?,"O anúncio fica pausado por não ter estoque."
quais são as características do vendedor,"Não entendemos a sua pergunta."
quais são as características do vendedor,"Não entendemos a sua pergunta."
Ja efetuei aguardandO O envio,"Ok, entendido."
